mu_a,mu_b,a__G. bulloides,a__G. ruber,a__N. incompta,a__N. pachyderma,a__T. sacculifer,b__G. bulloides,b__G. ruber,b__N. incompta,b__N. pachyderma,b__T. sacculifer,sigma_a,sigma_b,sigma_m,sigma_d,tau__G. bulloides,tau__G. ruber,tau__N. incompta,tau__N. pachyderma,tau__T. sacculifer
3.814274172661063,-0.22910726599519252,4.098275756860428,4.357704521927259,3.409044836463674,4.194115913464584,3.4497983427005763,-0.2308045343655773,-0.24110032532795028,-0.17890066695630316,-0.21687992317653843,-0.19949295842934908,0.44291193053098726,0.06324646936217605,0.5518505217438306,0.08593310875491132,0.5847992733712976,0.4477148227331108,0.4814333631146665,0.47675312429119593,0.4327495509769192
3.7742540101476085,-0.22174308727736675,4.065048417593323,4.4850541462168545,3.54572295414612,4.0010590016635215,3.0157372961846214,-0.23069241420602662,-0.2443243453891228,-0.2022518349680583,-0.20425765112500727,-0.18202409763614744,0.4988643689420093,0.017636791797266804,0.48750539938146126,0.10966464623452213,0.5875647240155834,0.5033123113753702,0.5901587701826959,0.497884023514706,0.3786103865265969
3.9190201459060607,-0.20046493271956073,4.03939416612869,4.052311593072659,3.8684445962411096,4.175546805613532,3.093016483070881,-0.22665701837287822,-0.22867994814883522,-0.21714229273310928,-0.21910780088715548,-0.18478301764103397,0.39767590646267525,0.03719922755509215,0.5117755874400474,0.09929360383779738,0.5683401026092221,0.4516372319145461,0.5509135347869081,0.4563250832967845,0.43810433389377157
3.7248931846418953,-0.2102108827645337,4.072521858289906,4.240943421559524,3.3747194411874357,4.088078477455466,3.511383110633875,-0.23096245675028496,-0.23649507948824483,-0.1858425238181653,-0.20946882491100505,-0.2011774090571324,0.3473173050178837,0.022658899503888892,0.45941450220228175,0.0701666635064439,0.6494260739420096,0.46027764610985683,0.4692460653797498,0.4607015336794214,0.38888100569217177
3.593168597372242,-0.2184155342698442,4.074222228859535,4.1501949406396825,3.531301722620269,4.148258608007392,3.3911624563568945,-0.2300218574763936,-0.232806169530378,-0.19731957956372762,-0.21051049103905442,-0.19446620990593758,0.7309830304772034,0.030014090109779196,0.48890924359097554,0.14048041482802556,0.5725914955021326,0.48476963800708883,0.6161573771939942,0.4857256213010517,0.41605023970687477
3.79590593188444,-0.22249270212984285,4.109333563769856,4.139970582171871,3.4527655267237582,4.156942102509989,3.2561950724887825,-0.23146724210805686,-0.23198405606231354,-0.19322876376073164,-0.22545274249806121,-0.1922531730804495,0.4529384055528926,0.02423309322673743,0.5055154182138824,0.06109589545967185,0.5845984021182525,0.49064587285894395,0.5044592264922003,0.4864994591220065,0.3858431435281866
3.642949311466193,-0.2055713306226331,4.163809871189079,3.971079891250007,3.5368468487753337,4.180751969731084,3.069835973972671,-0.23307146139260687,-0.22559420474951106,-0.19466467117081587,-0.21551994603090716,-0.1846354749603392,0.5697187229615154,0.015518175818501515,0.44256631081245795,0.07097446544481852,0.5700222582859168,0.4827239781226415,0.49668446137456523,0.44874825335156393,0.4281279687162076
3.59220903693909,-0.21374696221876024,4.133061236000548,3.8171741424782506,3.5520952958081486,4.145285301758106,3.038913221351233,-0.23717366457754716,-0.21933732489679036,-0.19860648266959138,-0.22352973179933153,-0.18384381432443955,0.7804401335649683,0.039241580783540043,0.5210032622146453,0.051262748120846566,0.5648385252234985,0.5014143405999741,0.5212439117056483,0.45200048918528557,0.39859448620379917
3.838879968027374,-0.2086341234186959,4.0784316315058025,4.250040843236667,3.393176664169477,4.152972639532609,3.2736883319581622,-0.2338187738428925,-0.23801738653855856,-0.1851428379113148,-0.21883784271107026,-0.1927242607064349,0.3352440768560288,0.016038258960841843,0.4563318692452159,0.1100640534398171,0.5704198411370144,0.4967911318210649,0.5670299830267703,0.490296115264577,0.41569224119090603
3.930120991886828,-0.20895645587370373,3.900091431857561,4.582277448270147,3.648290297561273,4.077553445634827,3.2851967053712716,-0.21563103074824022,-0.2493580240089434,-0.2055878274447474,-0.20730225076345374,-0.19038455267782078,0.5612114696250803,0.04408314632654097,0.6863376987417198,0.15777734407993974,0.5954746360220055,0.4739569785639819,0.5271409896639134,0.4732782794405982,0.4100810862614875
