mu_a,mu_b,a__G. bulloides,a__G. ruber,a__N. incompta,a__N. pachyderma,a__T. sacculifer,b__G. bulloides,b__G. ruber,b__N. incompta,b__N. pachyderma,b__T. sacculifer,sigma_a,sigma_b,sigma_m,sigma_d,tau__G. bulloides,tau__G. ruber,tau__N. incompta,tau__N. pachyderma,tau__T. sacculifer
3.1916686281649573,-0.16716337989615965,3.890097502650572,2.7884938994262867,2.8674375696204177,4.000394980301747,2.324215279093991,-0.22263658740245978,-0.18748197779093026,-0.142583839230217,-0.1907493311324351,-0.15610734902463128,0.7996215153040594,0.02699835948750332,0.4492166146108524,0.1048567716058229,0.6231003878970446,0.3919856452555559,0.49063611289880726,0.4957619546593405,0.420367630223441
2.9330249498081247,-0.18745137563761913,3.9912847777115115,2.2590746776489667,3.1651742080466496,3.9277091335897687,1.6475566992564095,-0.2273278156573217,-0.16680947541960406,-0.16585477038318128,-0.17852257428235233,-0.12914661832881957,0.7179807978677573,0.03757913502431547,0.37672586177077133,0.1805656511501417,0.5772690352625155,0.4124250340146755,0.5143343825831527,0.46462220017738415,0.414346398430366
3.1561823570595746,-0.1720834971140622,3.9079741799281615,2.672437738605148,3.149607315665188,4.0132430509379855,2.120390399382385,-0.21617776176733078,-0.18445360311529962,-0.16213596207767,-0.1843798129856506,-0.14808692601376774,1.214413973290362,0.03705613195917508,0.5370302405049112,0.08685102961040031,0.6006923741141399,0.385428210642934,0.5041124869677489,0.4930698198569254,0.3878186234113777
3.0748634735650278,-0.1918853244982426,3.9577693075855995,2.556466592377632,2.8333015675440114,3.977204412433064,1.829235497325879,-0.22729232330422838,-0.17836017178740018,-0.13903646388099258,-0.18509889526184414,-0.13876608270328056,0.5214059994908798,0.03559841695982813,0.4100776526641705,0.1293453049257018,0.5753166816856224,0.41714591709371357,0.5133621940452198,0.4601581760057734,0.42212263902592934
3.0826346425820095,-0.2033108445344129,4.011696085420087,2.5766027860737526,2.9543204974008934,3.9683623987587873,1.9229773678342175,-0.2267559772546807,-0.17928645306120508,-0.14868352566573978,-0.18846682624281522,-0.14109057986363754,0.7297886456727588,0.05053974060101627,0.45497827246801736,0.0709299798898481,0.5811267452825298,0.4019033919305306,0.484424659644484,0.4623035911688013,0.3949937408353619
3.3125877216084674,-0.1665700341403046,3.874822159985594,2.560412176945462,3.2619850179270156,3.9939154219449233,1.8015622894593124,-0.21776163745335103,-0.17925302099203855,-0.17513372244025252,-0.18854021930333845,-0.13607899087866587,1.0503601260801108,0.02484869457705496,0.5739353130264725,0.17168796809807196,0.571521944058522,0.40437027903393274,0.5193722361369943,0.49418588512180406,0.42236209642806766
3.7085405559486992,-0.1267078055239434,3.9609990758145686,2.4461481634581186,2.990273471154497,3.956963315603293,2.1022421777718225,-0.22184122012440938,-0.17443372245645708,-0.14833000300771884,-0.18315927773098403,-0.1490897113671753,1.0259688980666555,0.0847311802549044,0.5244987359064421,0.13643221310228112,0.6073162140045483,0.3930527026564924,0.5424976612472301,0.45921413557679597,0.39752241975601976
3.683561354500316,-0.15684012490108007,3.9800639161846405,2.6689276485291304,3.0971066210165077,3.974310512238739,1.8861387130790055,-0.2234381367741658,-0.18449185471557367,-0.1603861647545856,-0.18560622538018035,-0.14094275932271458,0.8903413527390647,0.033517063086656744,0.5583032489613101,0.15299962245767457,0.5815124615410466,0.39052788434604735,0.5488835003988184,0.4926627453147756,0.3934450556114063
2.8360711913679078,-0.1934358294628291,3.92452740894467,2.5398348899060124,2.8440300191529118,4.006751922972142,1.806480997982424,-0.22435105303531508,-0.1792786869591214,-0.13978816720873047,-0.1855136513116275,-0.1347150407846949,1.1153841845925248,0.051735777377893144,0.5114207030022072,0.10468723581969049,0.6008256805420253,0.41285876058202475,0.47874482932974155,0.4688558423845326,0.41383198214658234
2.2864134204679907,-0.16969442352534206,4.038510870954241,2.5561542748022097,2.712419090523936,3.9574304849069826,1.727253133853426,-0.22578889683710543,-0.1794115835509035,-0.13158016358746158,-0.18518066421255505,-0.13093546145977294,1.9436060637336103,0.029434337082779677,0.5274064614622589,0.10750391359754013,0.5880996919587171,0.38704100071289205,0.5204565026448569,0.45067179439239485,0.4300858044364645
1.7455854052264161,-0.15090157990079522,3.9880528841475456,2.528480622494373,2.6848100862465305,3.973208556461482,1.6366093495680372,-0.22961543184427635,-0.17795192111710992,-0.12629522782679942,-0.17893185961854344,-0.12749948794118263,1.4409830175965874,0.03200400273953743,0.4947380287806334,0.11325040595595909,0.575951431973747,0.37591400757045534,0.5213335095267725,0.4467985247405747,0.4479441603131495
1.8966461468602718,-0.16331672858861382,3.8727337339795143,2.609691789406384,2.878374250435045,4.0054305309961595,1.7509218792384755,-0.22176001054711283,-0.18097617786279133,-0.14223972285153053,-0.18584549559780403,-0.136720719148227,1.7278972552610994,0.0841532125815714,0.45973486072532116,0.09491736773527477,0.6055523875394724,0.40196990523754256,0.4953171768954182,0.4665029016682001,0.396864293156676
